series_id, gyro, mag, accel, system, ax, ay, az, gx, gy, gz, mx, my, mz, eulerx, eulerx, eulerz, linax, linay, linaz, grx, gry, grz, qw, qx, qy, qz, qeulerx, qeulery, qeulerZ, temp, target 
1, 3,0,3,0,1.32,0.32,9.61,0.0,-0.31,-0.19,194.5,30.37,-145.0,300.06,7.88,-1.12,-0.02,0.12,-0.09,1.34,0.19,9.71,0.86,0.04,-0.05,0.5,59.85,-7.89,1.16,33,good
1, 3,0,3,0,1.41,0.14,9.56,0.06,0.37,0.69,215.0,31.56,-130.38,300.0,7.88,-1.12,0.06,-0.05,-0.14,1.34,0.19,9.71,0.86,0.04,-0.05,0.5,59.87,-7.9,1.18,33,good
1, 3,0,3,0,1.48,0.29,9.56,-0.06,0.19,-0.44,230.38,32.25,-124.25,300.06,7.94,-1.12,0.12,0.09,-0.14,1.36,0.2,9.7,0.86,0.04,-0.06,0.5,59.81,-7.98,1.19,33,good
1, 3,0,3,0,0.93,0.06,9.87,-0.75,2.06,0.37,293.88,31.56,-152.25,300.19,7.94,-1.12,-0.03,0.01,0.08,1.35,0.19,9.71,0.86,0.04,-0.05,0.5,59.68,-7.94,1.18,33,good
1, 3,0,3,0,0.99,0.1,9.63,0.12,-0.25,0.94,200.06,31.87,-159.88,300.13,7.88,-1.19,-0.15,-0.02,-0.2,1.34,0.2,9.71,0.86,0.04,-0.05,0.5,59.74,-7.89,1.21,33,good
2, 3,3,3,0,2.05,0.02,9.34,1.06,1.81,-1.75,-0.06,23.06,-54.69,301.75,10.5,0.06,0.25,0.04,-0.29,1.79,-0.02,9.64,0.87,0.04,-0.08,0.48,58.2,-10.52,-0.11,33,good
2, 3,3,3,0,1.66,0.01,9.68,1.88,0.12,0.0,1.75,22.37,-55.5,301.81,10.25,0.0,-0.08,0.01,0.03,1.74,0.0,9.64,0.87,0.04,-0.08,0.48,58.14,-10.28,0.01,33,good
2, 3,3,3,0,1.9,0.05,9.47,0.88,-0.37,1.37,1.37,22.69,-54.69,301.75,10.31,-0.06,0.14,0.04,-0.16,1.76,0.01,9.64,0.87,0.04,-0.08,0.48,58.25,-10.34,0.12,33,good
2, 3,3,3,0,1.92,0.13,9.43,1.37,-0.63,-0.94,1.06,22.37,-55.5,301.63,10.38,-0.19,0.15,0.1,-0.21,1.77,0.03,9.64,0.87,0.05,-0.08,0.49,58.31,-10.42,0.2,33,good
2, 3,3,3,0,1.65,-0.04,9.66,0.75,-0.63,-1.94,2.19,22.0,-54.69,301.75,10.38,-0.25,-0.11,-0.09,0.02,1.77,0.05,9.64,0.87,0.05,-0.08,0.48,58.19,-10.44,0.32,33,good
